	 levodopa;carbidopa;carbidopa;levodopa	combination				20110411_c4877476-24ca-31d3-9392-ea14e2f929b8
	.ALPHA.-TOCOPHEROL ACETATE, D-;BIOTIN;CALCIUM PANTOTHENATE;CUPRIC CATION;CYANOCOBALAMIN;DOCONEXENT;FERROUS ASPARTO GLYCINATE;FOLIC ACID;IRON;NIACINAMIDE;POTASSIUM CATION;PYRIDOXINE;RIBOFLAVIN;SODIUM CATION;THIAMINE;VITAMIN D;ZINC OXIDE	combination				20101102_4e6e1ca2-4f2e-4347-a1f4-8811278260a4
	.ALPHA.-TOCOPHEROL ACETATE, DL-;ASCORBIC ACID;BETA CAROTENE;CALCIUM;CHOLECALCIFEROL;CUPRIC CATION;CYANOCOBALAMIN;FOLIC ACID;IODINE;IRON;MAGNESIUM;NIACINAMIDE;OMEGA-3 FATTY ACIDS;PYRIDOXINE;RIBOFLAVIN;THIAMINE;ZINC	combination				20120113_5066f10e-e4d5-4621-9c0d-f52131973530
	.ALPHA.-TOCOPHEROL ACETATE, DL-;ASCORBIC ACID;BETA CAROTENE;CALCIUM;CHOLECALCIFEROL;CUPRIC CATION;CYANOCOBALAMIN;FOLIC ACID;IODINE;IRON;MAGNESIUM;NIACINAMIDE;OMEGA-3 FATTY ACIDS;PYRIDOXINE;RIBOFLAVIN;THIAMINE;ZINC	combination				20120113_e3206a2f-f1b0-4dd0-9067-18e68c93f8f5
	.ALPHA.-TOCOPHEROL ACETATE, DL-;ASCORBIC ACID;BETA CAROTENE;CALCIUM;CHOLECALCIFEROL;CUPRIC CATION;CYANOCOBALAMIN;FOLIC ACID;IRON;MAGNESIUM;NIACINAMIDE;OMEGA-3 FATTY ACIDS;PYRIDOXINE;RIBOFLAVIN;THIAMINE;ZINC	combination				20120124_7cabe091-8963-4c44-90c6-6b5e056d846a
	.ALPHA.-TOCOPHEROL ACETATE, DL-;ASCORBIC ACID;CALCIUM CATION;CHOLECALCIFEROL;CUPRIC CATION;CYANOCOBALAMIN;FOLIC ACID;IRON;NIACINAMIDE;PYRIDOXINE;RIBOFLAVIN;THIAMINE;ZINC CATION	combination				20120105_9f28c5db-b7c4-4c85-bada-a7d0e0df1cb1
	.ALPHA.-TOCOPHEROL ACETATE, DL-;ASCORBIC ACID;CALCIUM CATION;CHOLECALCIFEROL;CUPRIC CATION;CYANOCOBALAMIN;FOLIC ACID;IRON;NIACINAMIDE;PYRIDOXINE;RIBOFLAVIN;THIAMINE;ZINC CATION	combination				20120118_80b11abb-0eb2-4eb4-9067-7ddc053d1b50
	.ALPHA.-TOCOPHEROL ACETATE, DL-;ASCORBIC ACID;CALCIUM;CHOLECALCIFEROL;COPPER;CYANOCOBALAMIN;FOLIC ACID;IRON;NIACIN;PYRIDOXINE;RIBOFLAVIN;THIAMINE;VITAMIN A;ZINC	combination				20110505_70f941bd-40d5-4c25-84ab-7f81344160aa
	.ALPHA.-TOCOPHEROL ACETATE, DL-;ASCORBIC ACID;CHOLECALCIFEROL;CYANOCOBALAMIN;FLUORIDE ION;FOLIC ACID;NIACINAMIDE;PYRIDOXINE;RIBOFLAVIN;THIAMINE;VITAMIN A	combination				20110414_378704e2-1d34-4816-b8e7-56b1d17bff27
	.ALPHA.-TOCOPHEROL ACETATE, DL-;ASCORBIC ACID;CHOLECALCIFEROL;CYANOCOBALAMIN;FLUORIDE ION;NIACIN;PYRIDOXINE;RIBOFLAVIN;THIAMINE;VITAMIN A PALMITATE	combination				20110812_e57d5887-ec11-4a8a-958e-473f39be52de
	.ALPHA.-TOCOPHEROL ACETATE, DL-;ASCORBIC ACID;CHOLECALCIFEROL;CYANOCOBALAMIN;FLUORIDE ION;NIACINAMIDE;PYRIDOXINE;RIBOFLAVIN;THIAMINE;VITAMIN A PALMITATE	combination				20111020_f8489a5b-72d1-4bb3-b686-8984c779dd66
	.ALPHA.-TOCOPHEROL ACETATE, DL-;ASCORBIC ACID;CYANOCOBALAMIN;FLUORIDE ION;FOLIC ACID;NIACIN;PYRIDOXINE;RIBOFLAVIN;THIAMINE;VITAMIN A;VITAMIN D	combination				20110923_4392ef5c-6b87-4d6a-ac2d-8aad0e38e4f0
	.ALPHA.-TOCOPHEROL ACETATE, DL-;ASCORBIC ACID;CYANOCOBALAMIN;FLUORIDE ION;FOLIC ACID;NIACIN;PYRIDOXINE;RIBOFLAVIN;THIAMINE;VITAMIN A;VITAMIN D	combination				20120105_24c81ff8-4f0f-436f-9bd6-cee95c7b62ce
	.ALPHA.-TOCOPHEROL ACETATE, DL-;ASCORBIC ACID;CYANOCOBALAMIN;FLUORIDE ION;FOLIC ACID;NIACIN;PYRIDOXINE;RIBOFLAVIN;THIAMINE;VITAMIN A;VITAMIN D	combination				20120105_5064b02d-5d8c-47bc-99c4-14dcb801071f
	.ALPHA.-TOCOPHEROL ACETATE, DL-;Ascorbic Acid;BIOTIN;CALCIUM PANTOTHENATE;CHOLECALCIFEROL;CYANOCOBALAMIN;DOCONEXENT;FOLIC ACID;Heme Iron Polypeptide;IRON DEXTRAN;NIACINAMIDE;PYRIDOXINE;Potassium Cation;Zinc Oxide	combination				20100719_db9fede8-b6d5-40a9-84cb-f928553f8e6c
	.ALPHA.-TOCOPHEROL ACETATE, DL-;Ascorbic Acid;Biotin;Calcium;Cholecalciferol;Copper;Cyanocobalamin;Folic Acid;Iron;MAGNESIUM CATION;Niacin;Pantothenic Acid;Pyridoxine;Riboflavin;Thiamine;Vitamin A;Zinc	combination				20110315_7cbd200d-745e-44b8-9617-09f33ff05467
	.ALPHA.-TOCOPHEROL ACETATE, DL-;Ascorbic Acid;Calcium;Cholecalciferol;Copper;Docusate;Folic Acid;Iodine;Iron;Niacin;Pyridoxine;Riboflavin;Thiamine;Zinc	combination				20110204_56877685-78fa-43df-926c-030a8f28d709
	.ALPHA.-TOCOPHEROL SUCCINATE, D-;ASCORBIC ACID;CHOLECALCIFEROL;CYANOCOBALAMIN;FLUORIDE ION;NIACIN;PYRIDOXINE;RIBOFLAVIN;THIAMINE;VITAMIN A	combination				20110617_e3fbd519-4426-440b-8113-98a1d650fba5
	.ALPHA.-TOCOPHEROL SUCCINATE, D-;ASCORBIC ACID;CHOLECALCIFEROL;CYANOCOBALAMIN;FLUORIDE ION;NIACIN;PYRIDOXINE;RIBOFLAVIN;THIAMINE;VITAMIN A	combination				20110624_a54443dc-dab2-44cc-aeed-c599db5df04d
	.ALPHA.-TOCOPHEROL SUCCINATE, D-;ASCORBIC ACID;CHOLECALCIFEROL;CYANOCOBALAMIN;FLUORIDE ION;NIACIN;PYRIDOXINE;RIBOFLAVIN;THIAMINE;VITAMIN A	combination				20111209_4cf69ae7-0c43-4752-b58c-a2052e39b3fa
	.ALPHA.-TOCOPHEROL SUCCINATE, D-;ASCORBIC ACID;CHOLECALCIFEROL;FLUORIDE ION;IRON;NIACIN;PYRIDOXINE;RIBOFLAVIN;THIAMINE;VITAMIN A	combination				20110624_5ea2766a-dc94-4c48-8432-b948abb2df3b
	.Alpha.-Tocopherol Acetate, DL-;Ascorbic Acid;Beta Carotene;Biotin;Calcium Cation;Cholecalciferol;Cupric Cation;Cyanocobalamin;Docusate;Folic Acid;Iron;Magnesium Oxide;Niacinamide;Pantothenic Acid;Pyridoxine;Riboflavin;Thiamine;Zinc Oxide	combination				20111018_70c06d3f-48e6-4953-b9dd-9e315544ab2d
	.Alpha.-Tocopherol Acetate, DL-;Ascorbic Acid;Beta Carotene;Calcium Cation;Cholecalciferol;Cupric Cation;Cyanocobalamin;Docusate;Folic Acid;Iron;Magnesium Oxide;Niacinamide;Pyridoxine;Riboflavin;Thiamine;Zinc Oxide	combination				20111017_1dca1f73-f6cf-4356-b831-3458d953d959
	.Alpha.-Tocopherol Acetate, DL-;Ascorbic Acid;Biotin;Cupric Cation;Cyanocobalamin;Docusate;Folic Acid;Iron	combination				20111006_50fa1766-1db6-4360-97b1-c1550695c75c
	.Alpha.-Tocopherol Acetate, DL-;Ascorbic Acid;Calcium Cation;Cholecalciferol;Cupric Oxide;Cyanocobalamin;Docusate;Folic Acid;Iron;Magnesium Oxide;Niacinamide;Pyridoxine;Riboflavin;Thiamine;Zinc Oxide	combination				20111014_83ee7724-ca55-465d-b561-c466fb3c9fef
	.Alpha.-Tocopherol Acetate, DL-;Biotin;Calcium Ascorbate;Calcium Cation;Calcium Threonate;Cholecalciferol;Doconexent;Docusate;Ferrous Asparto Glycinate;Folic Acid;Icosapent;Iodine;Iron;Linolenic Acid;Magnesium Oxide;Niacinamide;Omega-3 Fatty Acids;Pyridoxine;Riboflavin;Zinc Oxide	combination				20111017_e831449a-1478-4cb2-864c-f70391d46108
	.Alpha.-Tocopherol Acetate, DL-;Calcium Cation;Cholecalciferol;Doconexent;Docusate;Folic Acid;Iron;Pyridoxine	combination				20111019_f5669b37-2488-423b-b81c-561c202d3cdb
	.Alpha.-tocopherol, DL-;Calcium;Cholecalciferol;Doconexent;Docusate;Folic Acid;Iron;Pyridoxine	combination				20110615_bd9ebd35-481b-4e9d-8c14-d47b27a4b561
	.GAMMA.-AMINOBUTYRIC ACID;ACETAMINOPHEN;CODEINE	combination				20110815_a2ca6210-578d-496c-9a0e-6eb716f87ae6
	.GAMMA.-AMINOBUTYRIC ACID;ACETAMINOPHEN;HYDROCODONE	combination				20110812_5dbfb94c-0bbf-4096-baf5-c6690a2d0997
	.GAMMA.-AMINOBUTYRIC ACID;ACETAMINOPHEN;HYDROCODONE	combination				20110812_eec917da-5527-493b-8928-1128b5597ba5
	.GAMMA.-AMINOBUTYRIC ACID;ACETAMINOPHEN;HYDROCODONE	combination				20110815_09c9f50f-e78a-463f-b6da-49bf64b4ed40
	.GAMMA.-AMINOBUTYRIC ACID;ACETAMINOPHEN;HYDROCODONE	combination				20110815_8965ee35-89b9-4c11-9cee-fdcbe886cf6e
	.GAMMA.-AMINOBUTYRIC ACID;CARISOPRODOL	combination				20110812_99265e39-af23-43eb-a552-305f0a218fdf
	.GAMMA.-AMINOBUTYRIC ACID;CYCLOBENZAPRINE	combination				20110812_b016f51f-82c2-498d-83f1-51e01505a0ae
	.GAMMA.-AMINOBUTYRIC ACID;CYCLOBENZAPRINE	combination				20110815_6f49de96-1090-46bc-b7bf-0dc70f7d9530
	.GAMMA.-AMINOBUTYRIC ACID;CYCLOBENZAPRINE	combination				20110815_91356085-a6d8-4a41-8197-785fc21fb9de
	.GAMMA.-AMINOBUTYRIC ACID;GABAPENTIN	combination				20110812_5d86f813-e784-4490-a842-bcb78eb0d9a4
	.GAMMA.-AMINOBUTYRIC ACID;GABAPENTIN	combination				20110815_f501c511-2aa2-4c12-94ad-1cc42b18ef3e
	.GAMMA.-AMINOBUTYRIC ACID;IBUPROFEN	combination				20110812_08570dbd-45f7-47d2-8b63-b4e63995e966
	.GAMMA.-AMINOBUTYRIC ACID;IBUPROFEN	combination				20110812_334fa37b-f73a-459a-9f67-281022273fed
	.GAMMA.-AMINOBUTYRIC ACID;IBUPROFEN	combination				20110812_b720c99f-feaa-4453-ba4a-c3377501f7b8
	.GAMMA.-AMINOBUTYRIC ACID;NAPROXEN	combination				20110812_29acd686-ca11-42b0-b5cd-5c1a04e45c29
	.GAMMA.-AMINOBUTYRIC ACID;NAPROXEN	combination				20110812_701b69d8-cce8-42de-a770-96020c1a870a
	.GAMMA.-AMINOBUTYRIC ACID;NAPROXEN	combination				20110812_c3f47985-0027-4fa7-aab2-5bc6ca79a6e8
	.GAMMA.-AMINOBUTYRIC ACID;PIROXICAM	combination				20110812_403af9f8-63bf-41a2-bf3b-20e5b92c389a
	.GAMMA.-AMINOBUTYRIC ACID;TRAMADOL	combination				20110812_379f8193-c371-4ae9-a272-43c5b9b18349
	.GAMMA.-AMINOBUTYRIC ACID;TRAMADOL	combination				20110812_b4a17a69-e764-456c-8aa9-d31221c86a6b
	.alpha.-tocopherol acetate, dl-;Ascorbic Acid;Calcium;Cholecalciferol;Copper;Folic Acid;Iron;MAGNESIUM CATION;Pyridoxine;Zinc	combination				20110204_ad7ddef8-1eb4-4521-9b45-d7273e82b2ce
	.alpha.-tocopherol acetate, dl-;Ascorbic acid;Cholecalciferol;Cyanocobalamin;Folic Acid;Iron;Niacinamide;Pyridoxine;Riboflavin;Thiamine	combination				20110901_854b90e1-fe4d-46a1-aaa1-6ab701d8bb3d
	4-HYDROXYBUTANOIC ACID		-100010413	-10413		20091009_926eb076-a4a8-45e4-91ef-411f0aa4f3ca
	ABACAVIR		-100001971	-441300		20100526_ff62bcaa-a200-4ebf-a9ca-1ab2c254751c
	ABACAVIR		-100001971	-441300		20110714_6a3b10fc-4b2a-45e3-16a1-ef79187a6dfb
	ABACAVIR		-100001971	-441300		20111205_ca73b519-015a-436d-aa3c-af53492825a1
	ABACAVIR;LAMIVUDINE	combination				20100809_e0fc8605-1d64-41ab-af7e-bcf66a57c1fd
	ABACAVIR;LAMIVUDINE	combination				20100901_080e3423-5962-4465-8e78-cd8793699336
